State,Y21_Administered,Y22_Administered,Y21_Administered_65Plus,Y22_Administered_65Plus,Y21_All,Y22_All,Y23_All,Y21_pop_All,Y21_pop_65Plus,Y21_65_74,Y21_75_84,Y21_85_plus,Y22_65_74,Y22_75_84,Y22_85_plus,Y23_65_74,Y23_75_84,Y23_85_plus
AK,1009993,277458,206653,74701,839,330,69,734420,103113,219,175,104,95,83,66,NaN,30,20
AL,5619128,1274238,1749186,459688,9719,4226,869,5049196,921478,2548,2254,1382,1068,1193,905,196,283,254
AR,3762881,1003576,1106464,373280,5336,2773,527,3026870,543626,1379,1277,884,672,845,639,99,186,161
AZ,10473937,3775899,3091227,1262080,14060,5906,1020,7274078,1407534,3557,3593,2299,1409,1723,1451,191,327,371
CA,65857668,20371848,14438398,5346805,48330,22426,4914,39142565,6341096,11235,10856,10042,4600,5586,7084,852,1372,2037
CO,9452972,3217376,2126739,980905,6207,3413,685,5814036,934316,1497,1452,1286,751,883,1018,116,224,262
CT,6636556,2178899,1709924,725195,3153,2579,541,3606607,688141,601,792,1021,461,658,971,82,140,268
DC,1284971,632733,237609,124728,707,444,76,669256,87739,182,143,100,121,95,82,10,23,24
DE,1576758,532588,490243,201438,1266,867,216,1005062,214279,297,357,313,195,260,230,26,82,81
FL,33500253,7756641,11209312,3061443,38873,16898,4296,21831949,4748449,9015,9377,7746,3348,5033,5853,730,1404,1783
GA,13343930,3410016,3301372,1017629,17310,7229,1506,10792060,1663056,4316,4082,2547,1819,2068,1601,313,479,460
HI,2227100,1199276,612585,357520,744,639,195,1447029,305902,199,116,118,105,137,249,29,51,89
IA,4585325,1378075,1414823,557381,3526,2242,489,3198613,593343,780,892,983,424,567,789,78,126,235
ID,2010719,810863,663001,236899,2785,1084,200,1904848,331825,688,732,592,226,308,337,44,76,63
IL,19674497,6521163,4843309,1968007,11787,8720,1496,12700641,2232773,2795,2894,2779,1802,2306,2814,266,412,634
IN,8456079,2466741,2512792,859895,10054,6032,1024,6815907,1173699,2498,2543,2188,1419,1614,1571,195,293,399
KS,4070678,1196227,1150678,407276,3806,2408,428,2938338,518029,892,883,932,534,630,697,79,121,168
KY,5863417,1472616,1692198,534552,8695,5756,1204,4507583,801448,2264,2215,1520,1382,1716,1452,230,374,430
LA,5624945,1198443,1651898,402427,6919,3113,624,4627971,803879,1866,1481,984,695,911,773,122,209,202
MA,12986191,4690932,3055721,1412118,5579,4335,1151,7000474,1292988,1167,1492,1762,840,1086,1699,159,331,558
MD,10410721,3946056,2411952,1136990,6101,4315,998,6179403,1066565,1384,1468,1488,921,1187,1325,184,264,436
ME,2490576,940709,775740,397204,1433,1048,289,1378931,316327,301,396,411,224,315,317,56,87,118
MI,13934405,4381896,4140659,1587990,14945,8112,1703,10041351,1932960,3692,3705,3141,1782,2135,2549,284,537,667
MN,9089321,3370446,2424247,1143055,5181,3360,923,5718660,1022496,1085,1348,1428,621,881,1201,118,232,493
MO,8031785,2227990,2387811,826569,8946,5433,925,6171374,1133681,2164,2160,1820,1207,1473,1459,172,291,334
MS,3368713,859829,1024094,287799,5907,3190,696,2947209,517825,1503,1331,893,800,931,743,160,203,217
MT,1423580,386324,474370,160256,1816,729,147,1106522,226616,471,482,376,165,223,212,28,49,59
