State,Y21_Administered,Y22_Administered,Y21_Administered_65Plus,Y22_Administered_65Plus,Y21_All,Y22_All,Y23_All,Y21_pop_All,Y21_pop_65Plus,Y21_65_74,Y21_75_84,Y21_85_plus,Y22_65_74,Y22_75_84,Y22_85_plus,Y23_65_74,Y23_75_84,Y23_85_plus
AK,1009993,277458,206653,74701,6075,5550,3406,734420,103113,1396,1253,1018,1265,1199,959,776,727,620
AL,5619128,1274238,1749186,459688,67323,61127,39790,5049196,921478,15475,16359,14339,13676,15707,13859,8795,10405,9287
AR,3762881,1003576,1106464,373280,40034,37629,24693,3026870,543626,9074,9843,8943,8368,10055,8836,5409,6647,5926
AZ,10473937,3775899,3091227,1262080,82476,75074,49763,7274078,1407534,17573,20977,20081,15395,19907,19689,10067,13557,13266
CA,65857668,20371848,14438398,5346805,334608,315539,207423,39142565,6341096,65073,75780,98932,59528,75083,99301,38903,50717,65766
CO,9452972,3217376,2126739,980905,49135,47659,31708,5814036,934316,9954,11344,13038,9458,11412,13367,6240,7849,9102
CT,6636556,2178899,1709924,725195,34753,34977,22666,3606607,688141,5980,8248,12237,6056,8466,12763,3954,5653,8292
DC,1284971,632733,237609,124728,7154,6802,4358,669256,87739,1637,1339,1269,1587,1319,1207,992,842,767
DE,1576758,532588,490243,201438,11317,11381,7349,1005062,214279,2446,2850,3018,2432,3026,2997,1467,2101,1986
FL,33500253,7756641,11209312,3061443,264783,242537,164755,21831949,4748449,53430,66250,74940,47666,63807,73229,32211,44770,49945
GA,13343930,3410016,3301372,1017629,112794,102871,64849,10792060,1663056,25321,26856,24024,22582,25914,23263,14153,16912,15271
HI,2227100,1199276,612585,357520,12879,13314,8990,1447029,305902,2556,2747,4426,2516,3086,4729,1739,2157,3118
IA,4585325,1378075,1414823,557381,33999,33787,22315,3198613,593343,6814,8442,11128,6556,8565,11431,4512,5835,7638
ID,2010719,810863,663001,236899,18362,17082,11488,1904848,331825,3924,4732,5128,3485,4721,4983,2321,3278,3295
IL,19674497,6521163,4843309,1968007,120944,119449,76914,12700641,2232773,24665,28569,35465,24013,29391,35930,15335,19530,23112
IN,8456079,2466741,2512792,859895,79322,76090,47707,6815907,1173699,17316,19132,20349,16219,19288,19959,10143,12412,13094
KS,4070678,1196227,1150678,407276,31042,30634,20076,2938338,518029,6426,7374,9173,6273,7541,9385,4055,5153,6216
KY,5863417,1472616,1692198,534552,60369,57178,35827,4507583,801448,13879,14579,12810,12896,14762,12748,8049,9443,8077
LA,5624945,1198443,1651898,402427,57499,52527,32655,4627971,803879,12852,13071,12158,11497,12590,11732,7282,8289,7592
MA,12986191,4690932,3055721,1412118,63955,64224,43313,7000474,1292988,12026,15485,21825,11778,16047,22342,7835,11196,15188
MD,10410721,3946056,2411952,1136990,57470,55600,36546,6179403,1066565,11515,13567,16240,11081,13708,16371,7115,9350,10643
ME,2490576,940709,775740,397204,17129,17142,11754,1378931,316327,3438,4399,5245,3432,4410,5293,2307,3215,3748
MI,13934405,4381896,4140659,1587990,116049,108996,71720,10041351,1932960,24975,27861,32449,22969,27547,31658,15121,18588,20806
MN,9089321,3370446,2424247,1143055,51451,51120,33880,5718660,1022496,9795,12529,16789,9638,12726,17128,6467,8729,11691
MO,8031785,2227990,2387811,826569,76515,74020,47024,6171374,1133681,16424,18285,19629,15572,18734,19477,10054,12354,12803
MS,3368713,859829,1024094,287799,40297,36810,23510,2947209,517825,9385,9421,8205,8355,9253,8043,5407,5967,5403
MT,1423580,386324,474370,160256,12776,11773,7726,1106522,226616,2707,3268,3467,2413,3140,3311,1613,2038,2283
NC,14910033,4201909,4105708,1435773,118942,113537,74734,10564320,1867772,25744,29032,29136,23845,29276,28714,15747,19506,19294
ND,996879,272054,285998,94014,8105,7742,5227,777966,132954,1603,1869,2400,1467,1772,2468,1031,1227,1696
NE,2829643,878472,791249,299742,19101,18795,12824,1964537,338490,3837,4551,6085,3666,4653,6264,2529,3353,4241
NH,2382366,498196,670230,218318,13869,14313,9886,1387677,286972,2830,3517,4357,2831,3743,4526,1957,2664,3208
NJ,14904916,4506744,3515023,1266766,83597,81127,52690,9270541,1642740,15766,20074,27459,14853,20329,27523,9452,13464,18081
NM,3418218,1194807,928567,407961,24592,22876,14395,2117333,422408,5003,5401,5713,4605,5356,5694,2888,3476,3755
NV,4312320,1164138,1103266,374007,33947,32030,20228,3148141,546832,7982,8785,6735,7366,8744,6936,4480,5580,4420
NY,34276969,9913516,7970310,2819174,116100,111993,74943,19848276,3687810,22170,28338,39603,20946,28145,38596,14169,19216,25778
OH,15867527,4730071,4799029,1742815,147565,138162,88121,11767344,2211084,31706,35261,40162,29482,34537,38626,18542,22329,25084
OK,5272411,1335609,1486082,467367,49150,46637,29579,3992238,666704,11085,12093,11100,10472,11806,11058,6429,7607,7175
OR,6813898,2314069,1836594,791321,45026,44576,29128,4254280,832137,9617,11207,13139,9272,11682,13212,5929,7915,8418
PA,19970973,6800926,5911287,2351145,156234,147748,96937,13015571,2608320,31753,37634,48816,29031,37247,47530,19402,25179,31202
PR,5892567,2002185,1520229,516148,33252,35395,24159,3263000,757342,6212,9144,10033,6452,10153,11283,4277,6986,7991
RI,1946007,645576,509602,207907,11631,11066,7606,1097246,212646,2191,2738,4097,2098,2764,3873,1468,1939,2618
SC,6700590,1771065,2156252,661272,64285,59985,39827,5194274,1003534,14583,15720,14375,13152,15524,14411,8647,10696,9615
SD,1239566,391031,376635,143689,9407,9165,5769,896492,165403,1904,2063,2841,1804,2166,2830,1124,1464,1800
TN,8833198,2227607,2668931,810839,95189,88628,57845,6965740,1218308,21422,22743,20156,19350,22602,19790,12687,15046,13001
TX,40090990,10869614,8531845,2661062,271487,245417,160966,29570351,4065923,59660,62651,61376,52273,60115,60314,34178,40517,40194
UT,4491103,1514889,904123,364742,23517,22767,15276,3339738,406112,4485,5692,6482,4253,5986,6605,2833,4009,4354
VA,14475151,4661781,3415756,1423627,85048,82268,54214,8658910,1489333,17673,21062,23400,16789,21344,23192,10931,14320,15555
VT,1242684,460876,365776,164235,6648,6685,4306,647210,143357,1277,1647,2205,1302,1704,2178,815,1138,1504
WA,12546872,4673170,3040034,1401399,68696,69187,45909,7743760,1327280,14522,16484,19688,14025,17688,20278,9212,11931,13149
WI,9083354,3042815,2717589,1151900,60807,60282,39984,5881608,1127504,11906,14975,19375,11833,15136,19481,7820,10133,13068
WV,2443325,567042,829977,240305,28804,27013,17227,1785618,383551,6763,6949,6641,6174,7055,6271,3950,4530,4040
WY,679458,158547,217171,63838,5962,5455,3653,579636,111232,1345,1396,1546,1171,1397,1483,783,961,991
